mese,struttura,tipo_ricavo,valore
gennaio,residence,camere,0.0
febbraio,residence,camere,0.0
marzo,residence,camere,0.0
aprile,residence,camere,19329.47
aprile,residence,extra,4244.5
maggio,residence,camere,45752.98
maggio,residence,extra,16889.0
giugno,residence,camere,90828.79
giugno,residence,extra,13164.5
luglio,residence,camere,113906.58
luglio,residence,extra,14561.5
agosto,residence,camere,125948.66
agosto,residence,extra,22628.5
settembre,residence,camere,7078.43
settembre,residence,extra,886.0
