Conto,Descrizione,Dare,Avere,Saldo
,Retribuzioni,"44.838,09","66,11","44.771,98"
,Trasferte,"1.968,28",,"1.968,28"
,Rimborso spese Km extracomune,"6.602,80",,"6.602,80"
,Contributi ASPI Inps,"49,22",,"49,22"
,Contributi Inps,"15.149,07","306,34","14.842,73"
,Recupero contributi Inps,,"252,47","-252,47"
,Accanton. 13ma,"4.486,45",,"4.486,45"
,Accanton. 14ma,"4.486,45",,"4.486,45"
,Accanton. Ferie,"4.493,36",,"4.493,36"
,Accanton. R.O.L.,"1.874,37",,"1.874,37"
,Accanton. TFR mese,"3.239,30",,"3.239,30"
,Accanton. TFR retrib.differite,"664,70",,"664,70"
,"Rec.0,50% Fondo TFR","252,47","252,47",
,Oneri previd. Accant. 13ma,"1.328,11",,"1.328,11"
,Oneri previd. Accant. 14ma,"1.328,11",,"1.328,11"
,Oneri previd. Accant. Ferie,"1.330,17","761,88","568,29"
,Oneri previd. Accant. R.O.L.,"555,35","345,50","209,85"
,Premio Inail mese,"538,33",,"538,33"
,Premio Inail retrib.differite,"163,58",,"163,58"
***,Totale Conti Economici,"93.348,21","1.984,77","91.363,44"
,Competenze nette dipendenti,,"44.885,00","44.885,00"
,Ritenute Inps c/dipendente,,"4.773,15","4.773,15"
,Contributo ASPI INPS,,"49,22","49,22"
,Debito Inps,"252,47","15.149,07","14.896,60"
,Arrotondamento Attuale,"22,41",,"-22,41"
,Arrotondamento Precedente,,"9,73","9,73"
,Acconto gia' percepito,,"100,00","100,00"
,Irpef 1704 Cuneo Fiscale LdB 2,"249,63",,"-249,63"
,Irpef 1066/1701,"124,93",,"-124,93"
,Irpef codice 1001,,"5.009,63","5.009,63"
,Fondo 13ma,"518,74","4.486,45","3.967,71"
,Fondo 14ma,"518,74","4.486,45","3.967,71"
,Fondo Ferie,,"4.493,36","4.493,36"
,Fondo R.O.L.,,"1.874,37","1.874,37"
,"Fpld TFR 0,50%","252,47","252,47",
,Fondo TFR,,"3.239,30","3.239,30"
,Fondo TFR retrib.differite,,"664,70","664,70"
,Oneri previd. Fondo 13ma,"153,17","1.328,11","1.174,94"
,Oneri previd. Fondo 14ma,"153,17","1.328,11","1.174,94"
,Oneri previd. Fondo Ferie,"761,88","1.330,17","568,29"
,Oneri previd. Fondo R.O.L.,"345,50","555,35","209,85"
,Premio Inail,,"538,33","538,33"
,Premio Inail retrib.differite,,"163,58","163,58"
***,Totale Conti Patrimoniali,"3.353,11","94.716,55","91.363,44"
