Conto,Descrizione,Dare,Avere,Saldo,
,Retribuzioni,"68.698,40",,"68.698,40",
,Trasferte,"2.945,24",,"2.945,24",
,Rimborso spese Km extracomune,"10.744,20",,"10.744,20",
,Retrib. Stage,"523,00",,"523,00",
,Contributi ASPI Inps,"43,55",,"43,55",
,Contributi Inps,"21.433,89","510,88","20.923,01",
,Recupero contributi Inps,,"357,22","-357,22",
,Accanton. 13ma,"5.594,83",,"5.594,83",
,Accanton. 14ma,"5.594,83",,"5.594,83",
,Accanton. Ferie,"5.603,50",,"5.603,50",
,Accanton. R.O.L.,"3.363,97",,"3.363,97",
,Accanton. TFR mese,"5.179,55",,"5.179,55",
,Accanton. TFR retrib.differite,"828,94",,"828,94",
,"Rec.0,50% Fondo TFR","357,22","357,22",,
,Oneri previd. Accant. 13ma,"1.654,78",,"1.654,78",
,Oneri previd. Accant. 14ma,"1.654,78",,"1.654,78",
,Oneri previd. Accant. Ferie,"1.657,34","1.457,86","199,48",
,Oneri previd. Accant. R.O.L.,"994,97","673,88","321,09",
,Premio Inail mese,"767,24",,"767,24",
,Premio Inail retrib.differite,"214,96",,"214,96",
,*** Totale Conti Economici,"137.855,19","3.357,06","134.498,13",
,Competenze nette dipendenti,,"70.646,10","70.646,10",
,Ritenute Inps c/dipendente,,"6.753,28","6.753,28",
,Contributo ASPI INPS,,"43,55","43,55",
,Debito Inps,"357,22","21.433,89","21.076,67",
,Malattia c/Inps,"48,77",,"-48,77",
,Arrotondamento Attuale,"23,24",,"-23,24",
,Arrotondamento Precedente,,"20,93","20,93",
,Acconto gia' percepito,,"500,00","500,00",
,Irpef 1704 Cuneo Fiscale LdB 2,"537,53",,"-537,53",
,Irpef 1066/1701,"759,44",,"-759,44",
,Irpef codice 1001,,"8.416,86","8.416,86",
,Add.Irpef cod.3802 + Interessi,,"126,64","126,64",
,Add.Irpef cod.3848 + Interessi,,"31,97","31,97",
,Fondo 13ma,"1.092,33","5.594,83","4.502,50",
,Fondo 14ma,"638,81","5.594,83","4.956,02",
,Fondo Ferie,"9,42","5.603,50","5.594,08",
,Fondo R.O.L.,"22,28","3.363,97","3.341,69",
,"Fpld TFR 0,50%","357,22","357,22",,
,Fondo TFR,"453,12","5.179,55","4.726,43",
,Fondo TFR retrib.differite,,"828,94","828,94",
,Oneri previd. Fondo 13ma,"322,29","1.654,78","1.332,49",
,Oneri previd. Fondo 14ma,"188,59","1.654,78","1.466,19",
,Oneri previd. Fondo Ferie,"1.457,86","1.657,34","199,48",
,Oneri previd. Fondo R.O.L.,"673,88","994,97","321,09",
,Premio Inail,,"767,24","767,24",
,Premio Inail retrib.differite,,"214,96","214,96",
,*** Totale Conti Patrimoniali,"6.942,00","141.440,13","134.498,13",


"------------------------------------------------------------------------------------------------------------------------------------ Conto Descrizione Dare Avere Saldo Retribuzioni 68.698,40 68.698,40 Trasferte 2.945,24 2.945,24 Rimborso spese Km extracomune 10.744,20 10.744,20 Retrib. Stage 523,00 523,00 Contributi ASPI Inps 43,55 43,55 Contributi Inps 21.433,89 510,88 20.923,01 Recupero contributi Inps 357,22 -357,22 Accanton. 13ma 5.594,83 5.594,83 Accanton. 14ma 5.594,83 5.594,83 Accanton. Ferie 5.603,50 5.603,50 Accanton. R.O.L. 3.363,97 3.363,97 Accanton. TFR mese 5.179,55 5.179,55 Accanton. TFR retrib.differite 828,94 828,94 Rec.0,50% Fondo TFR 357,22 357,22 Oneri previd. Accant. 13ma 1.654,78 1.654,78 Oneri previd. Accant. 14ma 1.654,78 1.654,78 Oneri previd. Accant. Ferie 1.657,34 1.457,86 199,48 Oneri previd. Accant. R.O.L. 994,97 673,88 321,09 Premio Inail mese 767,24 767,24 Premio Inail retrib.differite 214,96 214,96 *** Totale Conti Economici 137.855,19 3.357,06 134.498,13 Competenze nette dipendenti 70.646,10 70.646,10 Ritenute Inps c/dipendente 6.753,28 6.753,28 Contributo ASPI INPS 43,55 43,55 Debito Inps 357,22 21.433,89 21.076,67 Malattia c/Inps 48,77 -48,77 Arrotondamento Attuale 23,24 -23,24 Arrotondamento Precedente 20,93 20,93 Acconto gia' percepito 500,00 500,00 Irpef 1704 Cuneo Fiscale LdB 2 537,53 -537,53 Irpef 1066/1701 759,44 -759,44 Irpef codice 1001 8.416,86 8.416,86 Add.Irpef cod.3802 + Interessi 126,64 126,64 Add.Irpef cod.3848 + Interessi 31,97 31,97 Fondo 13ma 1.092,33 5.594,83 4.502,50 Fondo 14ma 638,81 5.594,83 4.956,02 Fondo Ferie 9,42 5.603,50 5.594,08 Fondo R.O.L. 22,28 3.363,97 3.341,69 Fpld TFR 0,50% 357,22 357,22 Fondo TFR 453,12 5.179,55 4.726,43 Fondo TFR retrib.differite 828,94 828,94 Oneri previd. Fondo 13ma 322,29 1.654,78 1.332,49 Oneri previd. Fondo 14ma 188,59 1.654,78 1.466,19 Oneri previd. Fondo Ferie 1.457,86 1.657,34 199,48 Oneri previd. Fondo R.O.L. 673,88 994,97 321,09 Premio Inail 767,24 767,24 Premio Inail retrib.differite 214,96 214,96 *** Totale Conti Patrimoniali 6.942,00 141.440,13 134.498,13"
