Conto,Descrizione Retribuzioni,"Dare 69.029,99",Avere,"Saldo 69.029,99",
,Trasferte,"2.788,80",,"2.788,80",
,Rimborso spese Km extracomune,"11.222,00",,"11.222,00",
,Retrib. Stage Incentivo esodo/bonus transatt,"2.385,00 1.093,50",,"2.385,00 1.093,50",
,Contributi ASPI Inps,"287,84",,"287,84",
,Contributi Inps,"22.208,84","978,50","21.230,34",
,Recupero contributi Inps,,"370,12","-370,12",
,Accanton. 13ma,"5.629,78",,"5.629,78",
,Accanton. 14ma,"5.629,72",,"5.629,72",
,Accanton. Ferie,"5.638,50",,"5.638,50",
,Accanton. R.O.L.,"3.483,71",,"3.483,71",
,Accanton. TFR mese,"5.322,27",,"5.322,27",
,Accanton. TFR retrib.differite,"834,11",,"834,11",
,"Rec.0,50% Fondo TFR","370,12","370,12",,
,Oneri previd. Accant. 13ma,"1.663,16",,"1.663,16",
,Oneri previd. Accant. 14ma,"1.663,11",,"1.663,11",
,Oneri previd. Accant. Ferie,"1.665,71","1.500,84","164,87",
,Oneri previd. Accant. R.O.L.,"1.029,09","707,21","321,88",
,Premio Inail mese,"814,60",,"814,60",
,Premio Inail retrib.differite,"217,37",,"217,37",
,*** Totale Conti Economici,"142.977,22","3.926,79","139.050,43",
,Competenze nette dipendenti,,"79.208,65","79.208,65",
,Ritenute Inps c/dipendente,,"6.997,43","6.997,43",
,Contributo ASPI INPS,,"287,84","287,84",
,Debito Inps,"370,12","22.208,84","21.838,72",
,Malattia c/Inps,"572,90",,"-572,90",
,Arrotondamento Attuale,"21,89",,"-21,89",
,Arrotondamento Precedente,,"22,25","22,25",
,Acconto gia' percepito,,"3.376,22","3.376,22",
,Irpef 1704 Cuneo Fiscale LdB 2,"884,15",,"-884,15",
,Irpef 1066/1701,"904,11",,"-904,11",
,Irpef codice 1001,"311,90","9.345,25","9.033,35",
,Irpef codice 1012,,"313,76","313,76",
,Irpef per 730 + Interessi,"5.266,00",,"-5.266,00",
,Add.Irpef cod.3802 + Interessi,"320,00","250,13","-69,87",
,Add.Irpef cod.3848 + Interessi,"225,00","57,89","-167,11",
,Fondo 13ma,"1.890,99","5.629,78","3.738,79",
,Fondo 14ma,"1.410,73","5.629,72","4.218,99",
,Fondo Ferie,"157,93","5.638,50","5.480,57",
,Fondo R.O.L.,"161,67","3.483,71","3.322,04",
,"Fpld TFR 0,50%","370,12","370,12",,
,Fondo TFR,"925,02","5.322,27","4.397,25",
,Fondo TFR retrib.differite,,"834,11","834,11",
,Oneri previd. Fondo 13ma,"560,08","1.663,16","1.103,08",
,Oneri previd. Fondo 14ma,"418,42","1.663,11","1.244,69",
,Oneri previd. Fondo Ferie,"1.500,84","1.665,71","164,87",
,Oneri previd. Fondo R.O.L.,"707,21","1.029,09","321,88",
,Premio Inail,,"814,60","814,60",
,Premio Inail retrib.differite,,"217,37","217,37",
,*** Totale Conti Patrimoniali,"16.979,08","156.029,51","139.050,43",
,,,,,
