Mese,Hotel_Alloggi,Hotel_FB,Hotel_Altro,Angelina_Alloggi,Angelina_Altro,CVM_Alloggi,CVM_Altro,Spiaggia,Spiaggia_FB,Altri_Ricavi,TOTALE_RICAVI,Acquisti_MP,Servizi_Terzi,Utenze,Manutenzioni,Affitto_Azienda,Canoni_Locazione,Software,Altri_Prod,Personale,Consulenze,Marketing,Oneri_Tributari,Oneri_Finanziari,TOTALE_COSTI_OP,EBITDA,EBIT
Gennaio,251.96,90.91,36.36,0,0,2659.09,572.73,0.0,0,3073.7599999999998,6684.8099999999995,1722.08,444.75,9090.95,-41.5,0,0.0,8097.6,1860.55,23035.61,8472.97,9025.09,150.57,12552.61,61858.670000000006,-55173.86000000001,-67726.47
Febbraio,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marzo,347.91,218.17,27.28,0,0,3520.18,295.45,0.0,0,3034.69,7443.68,4545.780000000001,622.58,8026.93,0.0,0,0.0,2727.9,13566.06,13578.54,19390.0,1900.8600000000001,4211.5,3292.0,68570.15,-61126.469999999994,-64418.469999999994
Aprile,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3101.35,3101.35,1378.46,264.14,10105.1,93.5,0,0.0,308.87,4204.57,24353.55,40191.42,3810.33,48495.93,3647.2400000000002,133205.87,-130104.51999999999,-133751.75999999998
Maggio,0.0,0.0,0.0,0,0,0.0,0.0,920.26,0,3073.78,3994.04,-628.9,254.82,12665.970000000001,30290.0,0,0.0,265.19,-22294.38,6071.84,8495.94,2211.23,34.99,2360.27,37366.700000000004,-33372.66,-35732.93
Giugno,0.0,0.0,0.0,0,0,0.0,0.0,59642.64,0,9241.31,68883.95,645.8199999999999,2788.57,11780.77,0.0,0,0.0,689.1,-370.92,4340.0,7917.1,1634.9,35772.159999999996,15811.32,65197.5,3686.449999999997,-12124.870000000003
Luglio,0.0,0.0,0.0,0,0,0.0,0.0,62082.71,0,503073.77,565156.48,-1120.3,855.8,4400.099999999999,126.56,0,0.0,89.1,21.84,9961.0,5454.2,435.0,-334.01,5326.09,19889.29,545267.19,539941.1
Agosto,0.0,0.0,0.0,0,0,0.0,0.0,63800.8,0,10046.880000000001,73847.68000000001,-2169.54,498.27,3115.0,0.0,0,0.0,148.8,95.65,13214.53,-339.46000000000004,0.0,41.99,4335.87,14605.24,59242.44000000001,54906.57000000001
Settembre,0.0,0.0,0.0,0,0,0.0,0.0,31268.45,0,3073.77,34342.22,162.23000000000002,140.42,4581.51,800.0,0,-120000.0,89.1,5167.31,8930.95,2115.84,0.0,56.83,4386.12,-97955.81,132298.03,127911.91
Ottobre,0.0,0.0,0.0,0,0,0.0,0.0,1337.69,0,104663.64,106001.33,157.4,-2483.5400000000004,-27767.660000000003,806.8199999999999,0,0.0,-13171.189999999999,21.84,9296.67,6502.0,4420.74,34.99,4257.67,-22181.930000000004,128183.26000000001,123925.59000000001
Novembre,0.0,0.0,0.0,0,0,0.0,0.0,3453.74,0,3073.78,6527.52,260.63,-1501.49,23122.59,0.0,0,-120000.0,89.1,0.0,13227.52,3766.54,0.0,6036.84,3056.4700000000003,-74998.27,81525.79000000001,78469.32
Dicembre,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,289959.03,289959.03,192.58,45.84,2294.8999999999996,0.0,0,0.0,89.1,21.84,5380.0,18117.2,100.0,50034.99,2430.96,76276.45,213682.58000000002,211251.62000000002
