mese,HOTEL,ANGELINA,CVM,F&B,SPIAGGIA,ALTRO_RICAVI,RICAVI_TOT,FISSI,VARIABILI,PERSONALE,ALTRO_COSTI,COSTI_TOT,EBITDA
Gennaio,0.0,0.0,0.0,0.0,0.0,21000.0,21000.0,880.29,0.0,28858.609999999997,3105.19,32844.09,-11844.089999999997
Febbraio,0.0,0.0,0.0,0.0,0.0,21000.0,21000.0,1995.3,0.0,19000.0,2253.0499999999997,23248.35,-2248.3499999999985
Marzo,0.0,0.0,0.0,0.0,0.0,21315.52,21315.52,16855.3,0.0,32009.079999999998,22516.18,71380.56,-50065.03999999999
Aprile,59755.82,16825.4,13813.29,15094.1,0.0,34868.600000000006,140357.21000000002,47694.4,27442.31,113801.25,10527.689999999999,199465.65,-59108.43999999997
Maggio,291945.25,40206.22,17259.68,74663.81,109.08,41860.58,466044.62,5675.25,45752.490000000005,63497.07,70717.24,185642.05000000002,280402.56999999995
Giugno,420280.2,84555.68,25460.21,78663.37,10922.769999999999,65296.61,685178.84,88639.16999999998,55014.47,70633.84,170870.76,385158.24,300020.6
Luglio,447062.54,100101.06,36415.57,98853.88,18836.8,63966.740000000005,765236.59,529234.92,64848.0,96707.14,121137.8,811927.8600000001,-46691.270000000135
Agosto,518745.9,115540.84,44104.77,100133.05,35383.11,58168.399999999994,872076.0700000001,18018.57,55927.810000000005,110927.91,92998.58,277872.87,594203.2000000001
Settembre,433380.0,66867.46,28335.01,81701.65,6590.9800000000005,74593.12,691468.22,37968.82000000001,43917.14,91525.65999999999,153922.32000000007,327333.94000000006,364134.2799999999
Ottobre,304670.29,65334.04,17215.12,46249.38,104.55,-25542.02,408031.36,242006.80999999997,24858.649999999998,96156.22,131415.49,494437.17,-86405.81
Novembre,-4914.72,304.55,1720.87,27.27,0.0,27206.659999999996,24344.629999999997,140183.03,5778.860000000001,172284.34,52501.04000000001,370747.27,-346402.64
Dicembre,0.0,0.0,2623.18,0.0,0.0,21720.7,24343.88,308460.91,3573.0899999999997,65596.45,497722.18000000005,875352.63,-851008.75
