Mese,Hotel_Alloggi,Hotel_FB,Hotel_Altro,Angelina_Alloggi,Angelina_Altro,CVM_Alloggi,CVM_Altro,Spiaggia,Spiaggia_FB,Altri_Ricavi,TOTALE_RICAVI,Acquisti_MP,Servizi_Terzi,Utenze,Manutenzioni,Affitto_Azienda,Canoni_Locazione,Software,Altri_Prod,Personale,Consulenze,Marketing,Oneri_Tributari,Oneri_Finanziari,TOTALE_COSTI_OP,EBITDA,EBIT
Gennaio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,21000.0,0.0,2.5,0.0,0.0,0.0,0.0,122.5,1118.42,0.0,28858.609999999997,16.39,0.0,2725.67,30118.42,-9118.419999999998,-11844.089999999998
Febbraio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,21000.0,0.0,17.99,0.0,0.0,0.0,0.0,1237.51,757.79,0.0,19000.0,0.0,0.0,2235.06,21013.29,-13.290000000000873,-2248.350000000001
Marzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21315.52,21315.52,0.0,3083.18,0.0,15000.0,0.0,0.0,1097.51,6785.06,2053.12,29955.96,438.85,10983.849999999999,1983.03,69397.53,-48082.009999999995,-50065.03999999999
Aprile,59755.82,13995.47,7258.13,16825.4,2704.91,13813.29,1468.15,0.0,0.0,24536.04,140357.21,27442.31,469.06,3285.05,44189.11000000001,0.0,0.0,959.0,4510.24,19803.19,93998.06,989.36,305.67,3514.6,195951.05000000002,-55593.840000000026,-59108.440000000024
Maggio,291945.25,71672.51,10119.560000000001,40206.22,5849.03,17259.68,1687.6699999999998,109.08,0.0,27195.62,466044.62,45752.490000000005,14631.53,152.72,9009.56,0.0,1057.0,2357.49,43636.03,57956.6,5540.47,1452.99,88.68,4006.49,181635.56,284409.06,280402.57
Giugno,420280.2,75768.44,29120.68,84555.68,7658.67,25460.21,1839.0700000000002,10922.769999999999,0.0,29573.12,685178.84,55014.47,33604.340000000004,10014.86,32145.0,0.0,51170.0,2142.38,38143.13,67554.13,3079.71,5176.790000000001,5739.0,81374.43,303783.81,381395.02999999997,300020.6
Luglio,447062.54,95779.92,28809.52,100101.06,7133.08,36415.57,1620.44,18836.8,0.0,29477.66,765236.59,64848.0,50920.299999999996,34825.16,25491.78,500000.0,0.0,1909.9,12017.53,82633.14,14074.0,12191.69,0.01,13016.350000000002,798911.51,-33674.92000000004,-46691.27000000005
Agosto,518745.9,97320.38,19923.55,115540.84,9262.24,44104.77,3840.86,35383.11,4.55,27949.870000000003,872076.0700000001,55927.810000000005,56831.77999999999,8257.400000000001,11428.46,0.0,607.62,0.0,13236.470000000001,85206.39,25721.52,5516.73,3797.61,11341.08,266531.79,605544.28,594203.2000000001
Settembre,433380.0,78669.93,40076.24,66867.46,7845.8099999999995,28335.01,1249.98,6590.9800000000005,0.0,28452.809999999998,691468.22,43917.14,65493.57000000001,14510.62,35639.43,0.0,42420.89,987.51,12818.369999999999,82398.15,9127.51,5470.32,39.989999999999995,14510.44,312823.50000000006,378644.7199999999,364134.2799999999
Ottobre,304670.29,43844.869999999995,-51971.39,65334.04,764.0700000000002,17215.12,1654.5,104.55,0.0,26415.309999999998,408031.36,24858.649999999998,57671.25000000001,59421.65,4839.87,100000.0,104025.5,24749.16,6185.5599999999995,79618.22,16538.0,2719.19,1301.44,12508.680000000002,481928.49,-73897.13,-86405.81000000001
Novembre,-4914.72,27.27,0.0,304.55,0.0,1720.87,90.9,0.0,0.0,27115.76,24344.629999999997,5778.860000000001,30202.849999999995,12178.66,18346.0,120000.0,0.0,0.0,3327.33,145479.75,26804.589999999997,2541.06,2515.2200000000003,3572.9500000000003,367174.3199999999,-342829.6899999999,-346402.6399999999
Dicembre,0.0,0.0,0.0,0.0,0.0,2623.18,313.65,0.0,0.0,21407.05,24343.879999999997,3573.0899999999997,367496.77,12829.789999999999,12200.0,286885.25,29550.28,4285.6,9591.0,32009.100000000002,33587.35,1113.03,6203.59,76027.78,799324.85,-774980.97,-851008.75
