Mese,Ricavi,Costi_Operativi,EBITDA,EBITDA_Pct,Oneri_Finanziari,Risultato_Ante_Imposte
Gennaio,94501.33,80326.13,14175.2,15.0,21000,-6824.8
Febbraio,94501.33,85051.2,9450.13,10.0,21000,-11549.87
Marzo,141751.99,113401.6,28350.4,20.0,21000,7350.4
Aprile,283503.99,184277.59,99226.4,35.0,21000,78226.4
Maggio,708759.97,354379.99,354379.99,50.0,21000,333379.99
Giugno,945013.3,378005.32,567007.98,60.0,21000,546007.98
Luglio,1086765.3,380367.85,706397.44,65.0,21000,685397.44
Agosto,1134015.96,340204.79,793811.17,70.0,21000,772811.17
Settembre,850511.97,246648.47,603863.5,71.0,21000,582863.5
Ottobre,567007.98,411080.79,155927.19,27.5,21000,134927.19
Novembre,141751.99,120489.2,21262.8,15.0,21000,262.8
Dicembre,94501.33,75601.06,18900.27,20.0,21000,-2099.73
TOTALE ANNO,6142586.45,2769833.9823000003,3372752.4677,54.9076923076923,252000,3120752.4677
