societa,tipo,anno,mese,totale,file
ORTI,stagionali,2025,6,528.58,ORT_PCSTAG_06_2025.xlsx
ORTI,stagionali,2025,7,3739.46,ORT_PCSTAG_07_2025.xlsx
ORTI,stagionali,2025,8,2410.43,ORT_PCSTAG_08_2025.xlsx
ORTI,dipendenti,2025,3,26877.57,ORT_PC_03_2025.xlsx
ORTI,dipendenti,2025,4,84217.57,ORT_PC_04_2025.xlsx
ORTI,dipendenti,2025,5,114984.0,ORT_PC_05_2025.xlsx
ORTI,dipendenti,2025,6,124481.51,ORT_PC_06_2025.xlsx
ORTI,dipendenti,2025,7,129000.24,ORT_PC_07_2025.xlsx
ORTI,dipendenti,2025,8,125937.54,ORT_PC_08_2025.xlsx
ORTI,13ma_14ma,2025,7,1005.36,ORT_PC_14_2025.xlsx
INTUR,collaboratori,2025,2,420.83,INT_PCCOLLAB_02_2025.xlsx
INTUR,collaboratori,2025,3,420.83,INT_PCCOLLAB_03_2025.xlsx
INTUR,collaboratori,2025,4,420.83,INT_PCCOLLAB_04_2025.xlsx
INTUR,collaboratori,2025,5,420.83,INT_PCCOLLAB_05_2025.xlsx
INTUR,collaboratori,2025,6,420.83,INT_PCCOLLAB_06_2025.xlsx
INTUR,collaboratori,2025,7,420.83,INT_PCCOLLAB_07_2025.xlsx
INTUR,collaboratori,2025,8,420.83,INT_PCCOLLAB_08_2025.xlsx
INTUR,collaboratori,2025,1,420.83,INT_PCCOLL_01_2025.xlsx
INTUR,stagionali,2025,7,1311.48,INT_PCSTAG_07_2025.xlsx
INTUR,stagionali,2025,8,474.51,INT_PCSTAG_08_2025.xlsx
INTUR,dipendenti,2025,1,20786.17,INT_PC_01_2025.xlsx
INTUR,dipendenti,2025,2,19307.64,INT_PC_02_2025.xlsx
INTUR,dipendenti,2025,3,15959.21,INT_PC_03_2025.xlsx
INTUR,dipendenti,2025,4,2358.75,INT_PC_04_2025.xlsx
INTUR,dipendenti,2025,5,2824.23,INT_PC_05_2025.xlsx
INTUR,dipendenti,2025,6,13937.55,INT_PC_06_2025.xlsx
INTUR,dipendenti,2025,7,14042.56,INT_PC_07_2025.xlsx
INTUR,dipendenti,2025,8,13300.19,INT_PC_08_2025.xlsx
INTUR,13ma_14ma,2025,7,77.83,INT_PC_14_2025.xlsx
